Sample_name,Tree_host,Tree_log,Year,Year_since_decay_start,Site,Decay_status
2013_PD7,red_pine,pine_07,2013,3,Hanging_on_birch,decayed
2013_PD8,red_pine,pine_08,2013,3,Hanging_on_birch,decayed
2013_PD9,red_pine,pine_09,2013,3,Hanging_on_birch,decayed
2013_PD10,red_pine,pine_10,2013,3,Hanging_on_birch,decayed
2014_BA1,paper_birch,birch_01,2014,4,Ground_bark,decayed
2014_BA2,paper_birch,birch_02,2014,4,Ground_bark,decayed
2014_BA3,paper_birch,birch_03,2014,4,Ground_bark,decayed
2014_BA4,paper_birch,birch_04,2014,4,Ground_bark,decayed
2014_BA5,paper_birch,birch_05,2014,4,Ground_bark,decayed
2014_BA6,paper_birch,birch_06,2014,4,Ground_bark,decayed
2014_BA7,paper_birch,birch_07,2014,4,Ground_bark,decayed
2014_BA8,paper_birch,birch_08,2014,4,Ground_bark,decayed
2014_BA9,paper_birch,birch_09,2014,4,Ground_bark,decayed
2014_BA10,paper_birch,birch_10,2014,4,Ground_bark,decayed
2014_BB1,paper_birch,birch_01,2014,4,Ground_nobark,decayed
2014_BB2,paper_birch,birch_02,2014,4,Ground_nobark,decayed
2014_BB3,paper_birch,birch_03,2014,4,Ground_nobark,decayed
2014_BB4,paper_birch,birch_04,2014,4,Ground_nobark,decayed
2014_BB5,paper_birch,birch_05,2014,4,Ground_nobark,decayed
2014_BB6,paper_birch,birch_06,2014,4,Ground_nobark,decayed
2014_BB7,paper_birch,birch_07,2014,4,Ground_nobark,decayed
2014_BB8,paper_birch,birch_08,2014,4,Ground_nobark,decayed
2014_BB9,paper_birch,birch_09,2014,4,Ground_nobark,decayed
2014_BB10,paper_birch,birch_10,2014,4,Ground_nobark,decayed
2014_BC1,paper_birch,birch_01,2014,4,Hanging_on_pine,decayed
2014_BC2,paper_birch,birch_02,2014,4,Hanging_on_pine,decayed
2014_BC3,paper_birch,birch_03,2014,4,Hanging_on_pine,decayed
2014_BC4,paper_birch,birch_04,2014,4,Hanging_on_pine,decayed
2014_BC5,paper_birch,birch_05,2014,4,Hanging_on_pine,decayed
2014_BC6,paper_birch,birch_06,2014,4,Hanging_on_pine,decayed
2014_BC7,paper_birch,birch_07,2014,4,Hanging_on_pine,decayed
2014_BC8,paper_birch,birch_08,2014,4,Hanging_on_pine,decayed
2014_BC9,paper_birch,birch_09,2014,4,Hanging_on_pine,decayed
2014_BC10,paper_birch,birch_10,2014,4,Hanging_on_pine,decayed
2014_BD1,paper_birch,birch_01,2014,4,Hanging_on_birch,decayed
2014_BD2,paper_birch,birch_02,2014,4,Hanging_on_birch,decayed
2014_BD3,paper_birch,birch_03,2014,4,Hanging_on_birch,decayed
2014_BD4,paper_birch,birch_04,2014,4,Hanging_on_birch,decayed
2014_BD5,paper_birch,birch_05,2014,4,Hanging_on_birch,decayed
2014_BD6,paper_birch,birch_06,2014,4,Hanging_on_birch,decayed
2014_BD7,paper_birch,birch_07,2014,4,Hanging_on_birch,decayed
2014_BD8,paper_birch,birch_08,2014,4,Hanging_on_birch,decayed
2014_BD9,paper_birch,birch_09,2014,4,Hanging_on_birch,decayed
2014_BD10,paper_birch,birch_10,2014,4,Hanging_on_birch,decayed
2014_PA1,red_pine,pine_01,2014,4,Ground_bark,decayed
2014_PA2,red_pine,pine_02,2014,4,Ground_bark,decayed
2014_PA3,red_pine,pine_03,2014,4,Ground_bark,decayed
2014_PA4,red_pine,pine_04,2014,4,Ground_bark,decayed
2014_PA5,red_pine,pine_05,2014,4,Ground_bark,decayed
2014_PA6,red_pine,pine_06,2014,4,Ground_bark,decayed
2014_PA7,red_pine,pine_07,2014,4,Ground_bark,decayed
2014_PA8,red_pine,pine_08,2014,4,Ground_bark,decayed
2014_PA9,red_pine,pine_09,2014,4,Ground_bark,decayed
2014_PA10,red_pine,pine_10,2014,4,Ground_bark,decayed
2014_PB1,red_pine,pine_01,2014,4,Ground_nobark,decayed
2014_PB2,red_pine,pine_02,2014,4,Ground_nobark,decayed
2014_PB3,red_pine,pine_03,2014,4,Ground_nobark,decayed
2014_PB4,red_pine,pine_04,2014,4,Ground_nobark,decayed
2014_PB5,red_pine,pine_05,2014,4,Ground_nobark,decayed
2014_PB6,red_pine,pine_06,2014,4,Ground_nobark,decayed
2014_PB7,red_pine,pine_07,2014,4,Ground_nobark,decayed
2014_PB8,red_pine,pine_08,2014,4,Ground_nobark,decayed
2014_PB9,red_pine,pine_09,2014,4,Ground_nobark,decayed
